time,beam_tip_displacement_mm,beam_reaction_n
0.0,-0.170109868049622,9.03302250776505e-08
0.00999999977648258,0.000827450421638787,2271.89916992188
0.0199999995529652,0.00652001285925508,2347.55786132812
0.0350000001490116,0.0341506823897362,2714.79248046875
0.0575000010430813,0.146235242486,4204.490234375
0.0874999985098839,0.491460561752319,8789.375
0.0893749967217445,0.52216899394989,9190.1943359375
0.0921875014901161,0.570457458496094,9799.0283203125
0.0964062511920929,0.648009598255157,10745.0732421875
0.0979882776737213,0.678707897663116,11115.015625
0.100361324846745,0.726439118385315,11671.4677734375
0.10392089933157,0.801885783672333,12447.5146484375
0.106590576469898,0.861556529998779,13072.0693359375
0.110595092177391,0.956121683120728,13999.388671875
0.112096786499023,0.993172645568848,14354.369140625
0.114349327981472,1.0503968000412,14878.4111328125
0.117728136479855,1.13998520374298,15656.552734375
0.122796356678009,1.28295719623566,16634.09375
0.127864569425583,1.43644845485687,17483.1640625
0.132932782173157,1.60068333148956,18317.919921875
0.138001009821892,1.77587175369263,19119.541015625
0.143069222569466,1.96220886707306,19892.013671875
0.148137435317039,2.15987515449524,20650.69921875
0.15003801882267,2.23695516586304,20955.677734375
0.152888894081116,2.35562467575073,21413.9921875
0.157165199518204,2.54054236412048,21997.6015625
0.163579657673836,2.83363795280457,22785.953125
0.165985077619553,2.94845724105835,23114.62890625
0.169593214988708,3.12574601173401,23639.515625
0.175005421042442,3.40313935279846,24530.291015625
0.180417612195015,3.69438552856445,25466.83203125
0.185829818248749,3.99958300590515,26440.24609375
0.193948119878769,4.48371315002441,27693.39453125
0.202066421508789,4.9996223449707,29086.857421875
0.210184723138809,5.547438621521,30492.076171875
0.218303024768829,6.12721061706543,31901.37109375
0.226421326398849,6.7389121055603,33445.328125
0.228450909256935,6.89681625366211,33864.94140625
0.23048047721386,7.05670738220215,34276.51953125
0.233524844050407,7.30026483535767,34913.35546875
0.238091394305229,7.67395257949829,35927.71875
0.244941204786301,8.25319480895996,37500.60546875
0.251791030168533,8.85474395751953,39178.8515625
0.258640855550766,9.47840595245361,40987.640625
0.263778209686279,9.96052837371826,42358.01953125
0.27148425579071,10.7065563201904,44398.1328125
0.279190301895142,11.4796342849731,46589.75390625
0.286896347999573,12.2793073654175,48875.546875
0.289786100387573,12.5859403610229,49751.25
0.294120758771896,13.0527086257935,51048.25390625
0.30062273144722,13.7680082321167,53032.07421875
0.310375690460205,14.8743314743042,56128.8515625
0.314033061265945,15.2993049621582,57341.2109375
0.319519102573395,15.9468698501587,59161.96484375
0.321576356887817,16.1927890777588,59850.09765625
0.324662268161774,16.5647792816162,60884.5859375
0.325819492340088,16.705228805542,61277.3515625
0.327555298805237,16.9168701171875,61870.00390625
0.328206241130829,16.9965343475342,62093.65234375
0.329182624816895,17.1163330078125,62433.24609375
0.330647230148315,17.2967109680176,62938.08984375
0.332844108343124,17.5687942504883,63696.35546875
0.336139470338821,17.9803009033203,64834.03515625
0.341082483530045,18.6050434112549,66572.3984375
0.342936098575592,18.8416023254395,67232.390625
0.345716536045074,19.1987342834473,68216.796875
0.34988722205162,19.7395191192627,69715.1875
0.356143206357956,20.5618801116943,71923.734375
0.362399220466614,21.397253036499,74088.4296875
0.363963216543198,21.6080741882324,74643.8046875
0.365527212619781,21.819673538208,75163.8828125
0.367873221635818,22.1385097503662,75908.7265625
0.371392220258713,22.6199512481689,77009.515625
0.372711837291718,22.8014640808105,77421.3828125
0.374691277742386,23.0747108459473,78036.6875
0.377660423517227,23.4867477416992,78808.21875
0.382114171981812,24.1095790863037,79479.59375
0.382392525672913,24.1486930847168,79519.421875
0.382670879364014,24.1878280639648,79557.171875
0.383088409900665,24.2465724945068,79606.75
0.38324499130249,24.2686138153076,79622.4375
0.383479863405228,24.3016891479492,79643.4375
0.383832156658173,24.3513298034668,79673.2734375
0.384360611438751,24.4258556365967,79707.921875
0.385153263807297,24.5377883911133,79762.3671875
0.386342287063599,24.7060108184814,79829.9375
0.386788159608841,24.769193649292,79854.5078125
0.387456983327866,24.8640670776367,79889.4140625
0.38846018910408,25.0066051483154,79942.015625
0.389965027570724,25.2209148406982,80033.9765625
0.392222285270691,25.5434970855713,80184.75
0.395608156919479,26.0298385620117,80398.921875
0.400686949491501,26.7647304534912,80662.40625
0.402591526508331,27.0419292449951,80737.1015625
0.405448347330093,27.4593296051025,80834.8671875
0.408305168151855,27.8786029815674,80935.2890625
0.41116201877594,28.2996997833252,81030.734375
0.415447264909744,28.9346466064453,81140.6171875
0.419732511043549,29.573392868042,81228.7578125
0.424017757177353,30.2157592773438,81321.953125
0.428303003311157,30.8615589141846,81403.390625
0.432588249444962,31.5106105804443,81474.09375
0.433659553527832,31.6733589172363,81490.2109375
0.435266524553299,31.9178333282471,81515.671875
0.437676966190338,32.2853202819824,81564.5625
0.441292643547058,32.8382225036621,81643.7109375
0.442648530006409,33.0460586547852,81672.109375
0.444682329893112,33.3583030700684,81708.921875
0.447733074426651,33.8277320861816,81727.1953125
0.448877096176147,34.0040817260742,81735.3984375
0.450593113899231,34.2689208984375,81750.53125
0.453167170286179,34.6668586730957,81771.765625
0.457028239965439,35.2652015686035,81803.828125
0.458476155996323,35.4900016784668,81816.3984375
0.460648000240326,35.8276100158691,81826.2421875
0.461462467908859,35.9543342590332,81828.875
0.462684124708176,36.1445388793945,81830.15625
0.464516639709473,36.430103302002,81821.2265625
0.467265397310257,36.8590126037598,81829.890625
0.471388518810272,37.5035171508789,81863.4375
0.477573215961456,38.4725151062012,81978.2578125
0.479892462491989,38.8364791870117,82018.078125
0.483371376991272,39.3829231262207,82055.9296875
0.484675943851471,39.5879745483398,82067.421875
0.486632823944092,39.8956756591797,82079.6640625
0.489568144083023,40.3574600219727,82093.75
0.493971109390259,41.0505447387695,82054.65625
0.498374104499817,41.7439231872559,81985.859375
0.50277704000473,42.4373779296875,81977.484375
0.504428207874298,42.6974029541016,81979.203125
0.50504732131958,42.7949028015137,81979.265625
0.50597608089447,42.9411468505859,81977.203125
0.506324410438538,42.9959831237793,81975.8828125
0.506846785545349,43.0782356262207,81973.78125
0.507042706012726,43.1090812683105,81972.9140625
0.507336556911469,43.155345916748,81972.0625
0.507777392864227,43.224739074707,81975.90625
0.508438587188721,43.3288230895996,81981.0546875
0.509430348873138,43.4849281311035,81985.53125
0.510918021202087,43.7190437316895,81996.9375
0.513149559497833,44.0700988769531,82023.890625
0.513986349105835,44.2017059326172,82037.1875
0.515241622924805,44.3990669250488,82058.1328125
0.517124474048615,44.6949920654297,82086.765625
0.519948720932007,45.1385917663574,82131.015625
0.521007835865021,45.3048400878906,82143.7734375
0.521404981613159,45.3671684265137,82149.28125
0.521553933620453,45.3905410766602,82150.7890625
0.521777331829071,45.425594329834,82152.84375
0.522112429141998,45.4781723022461,82157.1796875
0.522615075111389,45.5570220947266,82161.6875
0.523369073867798,45.6752738952637,82166.4765625
0.524500072002411,45.8525886535645,82172.1640625
0.526196539402008,46.1184120178223,82177.9453125
0.526832699775696,46.2180480957031,82177.4921875
0.52778697013855,46.3674468994141,82175.5859375
0.528144836425781,46.4234580993652,82174.8671875
0.528681635856628,46.507453918457,82173.7421875
0.529486775398254,46.6334114074707,82176.953125
0.530694544315338,46.8222541809082,82183.8359375
0.532506167888641,47.1053085327148,82177.4765625
0.535223543643951,47.5293846130371,82225.6875
0.537940979003906,47.952808380127,82367.5703125
0.540658414363861,48.3755264282227,82514.34375
0.541337788105011,48.4810943603516,82555.6640625
0.542356789112091,48.6393508911133,82618.15625
0.543885350227356,48.8765296936035,82693.3125
0.546178162097931,49.2318115234375,82776.0234375
0.546751379966736,49.3205413818359,82794.9296875
0.547324597835541,49.4092292785645,82813.8203125
0.548184394836426,49.5421905517578,82836.515625
0.549474120140076,49.7414627075195,82850.8046875
0.550763845443726,49.9405326843262,82867.7109375
0.552053570747375,50.1393890380859,82885.6015625
0.55398815870285,50.4372711181641,82908.078125
0.554169476032257,50.4651718139648,82910.0
0.554441571235657,50.5070152282715,82912.890625
0.554543554782867,50.522705078125,82915.1953125
0.554696619510651,50.5462341308594,82920.171875
0.554926156997681,50.5815238952637,82927.5703125
0.555270433425903,50.6344413757324,82936.3515625
0.555786907672882,50.7137908935547,82946.125
0.556561648845673,50.8327484130859,82956.5
0.557723701000214,51.0110206604004,82967.9921875
0.558885753154755,51.1891021728516,82978.8046875
0.560047805309296,51.3669853210449,82988.3203125
0.560483574867249,51.4336395263672,82992.2421875
0.561137199401855,51.5335655212402,82999.5234375
0.562117695808411,51.6833343505859,83017.90625
0.563588440418243,51.9077110290527,83050.7890625
0.56579452753067,52.2436332702637,83087.109375
0.56910365819931,52.746021270752,83124.5234375
0.57241278886795,53.2465400695801,83142.8125
0.573240041732788,53.3713684082031,83144.90625
0.574481010437012,53.5583763122559,83144.828125
0.574946343898773,53.6284332275391,83143.8671875
0.575644373893738,53.7334403991699,83141.1484375
0.575906097888947,53.7727966308594,83141.8515625
0.576298773288727,53.8318023681641,83147.796875
0.576887726783752,53.9202613830566,83156.265625
0.577771127223969,54.0528259277344,83167.8828125
0.579096257686615,54.251392364502,83179.609375
0.581084012985229,54.5485954284668,83200.3828125
0.581829428672791,54.6598472595215,83208.0234375
0.582108914852142,54.7015380859375,83211.1484375
0.582528233528137,54.764045715332,83215.984375
0.583157122135162,54.8577346801758,83222.90625
0.584100544452667,54.9981231689453,83235.15625
0.58551561832428,55.2083587646484,83246.578125
0.587638258934021,55.5229263305664,83250.328125
0.588434219360352,55.6406402587891,83250.921875
0.589628219604492,55.8169555664062,83249.234375
0.591419160366058,56.0808448791504,83237.78125
0.594105660915375,56.4753341674805,83216.5078125
0.594357490539551,56.5122337341309,83214.1796875
0.594735264778137,56.567554473877,83209.5546875
0.595301926136017,56.6504783630371,83199.875
0.596151947975159,56.7747192382812,83189.2109375
0.596470713615417,56.8212661743164,83187.1640625
0.596590220928192,56.8387145996094,83186.59375
0.596769571304321,56.8648834228516,83187.421875
0.597038507461548,56.9041213989258,83189.921875
0.597441911697388,56.9629440307617,83193.765625
0.597593188285828,56.984992980957,83194.8984375
0.597820103168488,57.0180549621582,83196.8984375
0.5981605052948,57.067626953125,83200.703125
0.598671078681946,57.1419334411621,83207.3828125
0.59943699836731,57.2532768249512,83217.9609375
0.600585758686066,57.4200248718262,83233.0546875
0.601016581058502,57.4824752807617,83240.4453125
0.601662814617157,57.5760612487793,83257.0703125
0.602308988571167,57.6695442199707,83271.84375
0.602955222129822,57.7629280090332,83285.59375
0.603924512863159,57.9028053283691,83321.8671875
0.604893803596497,58.0424461364746,83359.078125
0.605863153934479,58.1818504333496,83393.2109375
0.607317090034485,58.390510559082,83444.703125
0.60786235332489,58.4686164855957,83462.453125
0.608680188655853,58.5856323242188,83488.2578125
0.60990697145462,58.7608261108398,83527.7890625
0.611747145652771,59.0228729248047,83576.828125
0.613587319850922,59.2840156555176,83613.328125
0.615427494049072,59.5442390441895,83639.359375
0.618187725543976,59.9328193664551,83667.9296875
0.619222819805145,60.0779876708984,83676.6328125
0.620775461196899,60.2951698303223,83684.234375
0.623104453086853,60.6196441650391,83692.0859375
0.623977780342102,60.7409133911133,83692.28125
0.62528783082962,60.9224014282227,83688.15625
0.62725293636322,61.1936836242676,83674.828125
0.627989828586578,61.2951126098633,83670.015625
0.629095196723938,61.4469528198242,83664.328125
0.630753219127655,61.6740188598633,83653.65625
0.630908608436584,61.6952629089355,83652.4765625
0.631141781806946,61.7271156311035,83650.9140625
0.631491541862488,61.7748603820801,83649.578125
