time,beam_tip_displacement_mm,beam_reaction_n
0.0,-0.148936197161674,-3.17613285005791e-07
0.00999999977648258,0.000827450421638787,1784.76513671875
0.0199999995529652,0.00652001285925508,1852.6044921875
0.0350000001490116,0.0341506823897362,2181.88500976562
0.0575000010430813,0.146235242486,3517.62133789062
0.0874999985098839,0.491460561752319,7631.75146484375
0.0893749967217445,0.52216899394989,7997.40869140625
0.0921875014901161,0.570457458496094,8564.5654296875
0.0964062511920929,0.648009598255157,9437.34375
0.0979882776737213,0.678707897663116,9778.4970703125
0.100361324846745,0.726439118385315,10299.9072265625
0.10392089933157,0.801885783672333,11059.580078125
0.109260253608227,0.923918664455414,12189.1123046875
0.110595092177391,0.956121683120728,12486.490234375
0.111929930746555,0.989012658596039,12778.9892578125
0.113932192325592,1.03964972496033,13208.77734375
0.116935580968857,1.11856317520142,13847.0634765625
0.118061847984791,1.14908015727997,14091.361328125
0.119751252233982,1.19580984115601,14448.048828125
0.122285358607769,1.26806938648224,14933.4140625
0.126086518168449,1.38138794898987,15577.11328125
0.12988768517971,1.50070679187775,16179.7744140625
0.133688852190971,1.62611734867096,16774.68359375
0.139390587806702,1.82584393024445,17614.419921875
0.145092338323593,2.03974437713623,18424.103515625
0.150794073939323,2.26806950569153,19213.818359375
0.159346699714661,2.63809466362,20298.625
0.167899310588837,3.04175639152527,21467.568359375
0.170037463307381,3.1479959487915,21809.41796875
0.172175616025925,3.25638151168823,22160.017578125
0.175382852554321,3.42299938201904,22700.419921875
0.180193692445755,3.6820592880249,23472.18359375
0.187409967184067,4.09133195877075,24746.67578125
0.190116062760353,4.2512412071228,25241.5546875
0.194175213575363,4.49771165847778,25869.81640625
0.200263947248459,4.88232421875,26863.0234375
0.209397032856941,5.49288558959961,28381.033203125
0.212821945548058,5.73227167129517,28995.04296875
0.217959299683571,6.10201549530029,29917.794921875
0.225665345788002,6.68060350418091,31340.900390625
0.228555113077164,6.90497732162476,31914.19140625
0.232889771461487,7.24908828735352,32819.19140625
0.23939174413681,7.78219079971313,34218.765625
0.241829976439476,7.98732376098633,34783.3515625
0.245487347245216,8.3003396987915,35635.62109375
0.250973373651505,8.78177165985107,36910.63671875
0.25303065776825,8.96597576141357,37419.77734375
0.256116539239883,9.24601459503174,38203.0546875
